Time,Values
0,264
5,32
9,34
14,29
19,25
23,25
29,19
33,16
37,15
43,17
48,22
53,22
58,24
63,29
68,26
72,33
77,34
82,32
87,38
92,39
97,44
102,46
106,48
111,49
116,49
121,52
125,55
130,50
136,53
140,57
144,57
149,56
155,57
160,53
165,55
170,55
174,58
179,62
184,65
189,61
193,65
199,59
204,58
208,64
212,59
218,67
222,69
228,70
233,64
238,70
242,62
247,63
252,71
257,72
262,65
267,72
272,66
277,71
281,68
286,73
291,66
296,61
301,64
306,71
311,64
315,67
320,65
325,68
330,65
335,68
340,72
345,72
349,66
354,61
359,65
364,62
369,65
374,69
379,69
383,72
388,68
393,65
398,62
403,67
408,66
413,71
418,74
422,71
427,72
432,68
437,67
442,72
447,64
452,74
455,61
461,70
466,68
471,62
475,65
481,72
485,71
489,72
495,69
500,65
505,70
510,73
515,65
520,70
524,68
529,68
534,65
538,64
543,68
548,64
554,66
558,71
563,62
568,70
573,64
578,66
583,64
588,71
592,73
596,74
602,74
607,66
612,69
617,71
622,66
627,68
631,63
636,70
641,68
646,61
651,67
656,71
661,70
665,69
670,71
675,66
680,65
685,67
690,72
695,70
699,67
704,72
709,69
714,65
719,70
724,65
729,70
733,68
738,73
743,72
747,68
753,74
758,65
763,68
767,64
772,68
777,71
782,71
786,64
791,64
796,70
802,65
805,68
811,71
816,74
821,72
826,66
831,72
836,69
840,64
845,73
850,70
855,73
860,68
865,68
870,64
874,72
879,66
884,64
889,70
893,70
898,74
904,68
908,64
913,68
918,68
922,71
928,73
933,64
938,68
942,73
947,66
952,69
957,71
962,65
967,67
972,74
977,65
981,74
986,69
991,72
996,71
1001,67
1005,68
1011,69
1015,72
1020,65
1025,73
1030,74
1035,74
1040,74
1044,74
1049,69
1054,66
1059,72
1064,70
1069,70
1074,68
1078,73
1083,69
1088,67
1093,65
1098,67
1103,73
1108,68
1112,66
1117,68
1122,75
1127,67
1132,66
1137,71
1142,69
1147,66
1151,65
1156,74
1161,68
1166,64
1171,72
1176,65
1181,71
1186,70
1190,72
1195,69
1199,68
1204,65
1210,75
1215,69
1220,72
1224,65
1228,74
1234,70
1239,69
1244,69
1249,70
1254,72
1258,77
1263,76
1268,70
1273,65
1278,72
1282,74
1288,65
1292,72
1297,70
1302,74
1307,70
1312,75
1317,70
1322,71
1327,70
1331,69
1336,76
1341,68
1346,72
1351,72
1356,74
1361,75
1365,75
1370,73
1375,76
1380,71
1385,76
1390,74
1395,72
1399,70
1404,76
1409,65
1414,71
1419,70
1424,68
1429,73
1433,74
1438,72
1443,78
1448,69
1453,77
1458,66
1463,67
1468,73
1472,74
1477,71
1482,73
1487,76
1492,75
1497,69
1502,77
1506,73
1511,69
1516,72
1521,68
1526,72
1531,72
1536,69
1540,70
1545,67
1550,72
1555,68
1560,70
1565,77
1570,71
1574,73
1579,70
1584,68
1589,74
1594,72
1599,75
1604,69
1609,70
1613,72
1618,76
1623,70
1627,71
1633,67
1638,74
1643,69
1647,76
1652,73
1657,69
1662,65
1667,68
1672,67
1677,72
1681,68
1686,75
1691,75
1695,67
1700,71
1705,75
1710,73
1714,75
1719,71
1724,73
1729,77
1734,71
1739,68
1744,69
1749,69
1753,70
1758,70
1763,65
1768,71
1773,68
1778,75
1783,70
1787,76
1792,75
1797,70
1802,72
1807,72
1812,76
1817,76
1821,69
1826,71
1831,73
1836,72
1841,73
1846,69
1851,76
1855,71
1860,68
1865,78
1870,77
1875,69
1880,70
1885,75
1890,68
1894,75
1899,71
1904,73
1909,73
1914,70
1919,72
1924,73
1928,74
1933,77
1938,69
1943,73
1949,69
1954,73
1959,73
1963,77
1968,72
1973,72
1978,69
1983,67
1987,68
1992,77
1997,70
2001,72
2007,70
2012,70
2017,71
2022,74
2027,71
2032,79
2036,78
2041,78
2046,70
2051,78
2056,69
2061,76
2066,71
2070,77
2075,68
2080,73
2085,71
2090,74
2095,69
2100,76
2104,72
2108,68
2114,72
2118,71
2124,70
2129,75
2134,73
2139,72
2142,76
2148,69
2153,80
2158,69
2163,70
2168,78
2172,69
2177,73
2182,72
2187,70
2192,77
2197,74
2202,69
2207,79
2210,72
2216,78
2221,78
2226,74
2231,73
2236,69
2241,71
2246,76
2249,79
2255,76
2260,77
2265,69
2270,70
2275,72
2280,78
2284,78
2289,69
2294,71
2299,70
2304,80
2309,74
2314,79
2318,79
2323,80
2328,73
2332,75
2338,72
2343,71
2348,70
2353,74
2356,80
2362,72
2367,72
2372,72
2377,80
2382,70
2387,77
2391,72
2396,72
2401,75
2406,76
2411,80
2416,80
2421,76
2424,77
2430,70
2435,69
2440,75
2445,70
2449,71
2454,75
2459,79
