Time,Values
0,77
5,70
10,73
15,65
20,63
24,59
30,57
33,53
39,56
44,55
49,57
54,52
59,60
64,55
68,58
73,67
78,62
83,61
88,61
93,66
98,61
103,67
107,65
112,72
116,74
122,75
127,67
132,73
137,67
141,66
146,77
151,74
156,71
161,75
166,78
171,78
174,77
180,68
185,76
190,69
195,69
200,70
205,70
210,78
214,82
219,71
224,80
228,79
234,79
239,78
244,71
248,75
253,76
258,76
263,80
268,70
273,75
278,78
283,77
286,72
291,71
297,80
302,73
307,70
311,70
316,74
321,76
326,79
331,73
336,70
341,80
346,80
351,72
355,73
360,71
365,73
370,72
375,72
380,82
384,80
389,79
393,71
398,73
403,74
408,80
413,76
418,82
423,78
428,72
433,77
437,79
442,78
447,77
452,78
457,73
462,75
466,82
471,80
476,76
481,75
486,76
491,82
496,78
500,80
505,74
510,80
515,73
520,84
525,72
530,82
535,74
539,77
544,77
549,79
554,74
559,71
564,78
569,80
573,77
578,82
583,72
588,81
593,70
598,74
603,74
607,79
612,82
617,78
622,76
627,69
632,82
637,75
642,80
646,71
651,74
656,72
661,71
666,78
671,78
676,77
680,72
685,73
690,76
695,74
700,79
705,71
710,72
716,81
719,79
724,80
729,72
734,77
740,76
744,74
750,81
754,76
759,73
764,76
769,71
774,82
779,83
783,72
788,74
792,72
797,72
802,83
807,80
812,75
817,80
822,70
826,76
831,81
836,76
842,78
847,77
852,70
857,72
861,75
866,80
871,79
876,66
880,81
885,74
890,79
895,80
899,72
904,74
909,77
914,76
919,78
924,80
929,76
933,74
938,76
943,79
948,79
953,80
958,76
963,78
968,75
972,81
977,79
982,75
987,81
992,81
997,82
1002,82
1006,78
1012,71
1017,78
1021,81
1026,76
1031,77
1036,72
1041,77
1046,81
1050,77
1055,72
1060,82
1065,73
1070,77
1076,80
1080,71
1085,81
1090,72
1095,71
1100,74
1105,75
1109,78
1114,72
1118,79
1123,71
1129,81
1133,77
1138,80
1144,77
1149,73
1152,79
1157,75
1162,76
1167,73
1172,76
1177,76
1182,80
1186,72
1191,79
1197,74
1202,72
1206,80
1211,77
1217,71
1222,78
1225,75
1231,75
1235,80
1240,71
1246,78
1250,81
1256,80
1260,74
1264,81
1270,78
1275,81
1280,81
1284,77
1289,81
1294,76
1298,70
1303,82
1308,73
1313,76
1318,73
1323,75
1328,74
1332,80
1337,80
1342,82
1347,80
1352,76
1357,72
1362,80
1367,76
1371,78
1376,73
1381,72
1386,78
1391,81
1396,81
1401,71
1405,81
1410,79
1415,78
1420,75
1425,80
1430,79
1435,74
1440,83
1444,80
1449,78
1454,74
1459,73
1464,74
1469,76
