Time,Values
0,288.0
4,38.0
8,5.0
14,313.0
17,4.0
23,330.0
26,2.0
32,328.0
36,4.0
42,348.0
48,146.0
50,2.0
57,293.0
60,4.0
66,306.0
70,4.0
75,309.0
79,2.0
85,329.0
88,4.0
94,326.0
100,173.0
103,9.0
109,292.0
113,6.0
119,301.0
122,5.0
128,299.0
131,5.0
136,307.0
141,2.0
147,326.0
152,100.0
157,17.0
161,9.0
166,283.0
170,1.0
176,300.0
182,102.0
185,9.0
188,2.0
194,311.0
199,18.0
204,94.0
210,180.0
213,2.0
218,288.0
222,3.0
228,301.0
232,4.0
237,300.0
241,4.0
247,309.0
250,4.0
255,323.0
262,139.0
266,4.0
271,293.0
275,6.0
281,290.0
284,4.0
289,302.0
293,2.0
298,314.0
303,3.0
309,316.0
315,184.0
319,40.0
323,6.0
329,288.0
332,3.0
338,300.0
340,2.0
346,316.0
350,4.0
357,321.0
360,16.0
366,38.0
372,174.0
375,6.0
380,290.0
385,1.0
390,303.0
394,2.0
400,301.0
402,2.0
409,311.0
414,17.0
418,25.0
424,102.0
429,12.0
434,14.0
437,8.0
443,292.0
448,40.0
451,4.0
457,304.0
462,88.0
464,1.0
471,320.0
476,90.0
482,188.0
485,8.0
491,288.0
496,50.0
498,5.0
505,297.0
508,3.0
513,311.0
517,4.0
522,318.0
528,22.0
534,108.0
536,8.0
543,287.0
547,4.0
553,300.0
556,5.0
561,301.0
565,3.0
571,312.0
575,2.0
581,324.0
587,116.0
590,7.0
596,286.0
599,4.0
605,298.0
610,92.0
613,1.0
619,302.0
623,3.0
628,321.0
632,3.0
638,323.0
644,135.0
646,2.0
653,292.0
656,2.0
662,289.0
666,4.0
672,304.0
675,4.0
681,320.0
684,6.0
690,328.0
696,146.0
700,6.0
705,294.0
709,3.0
714,290.0
717,4.0
723,312.0
728,53.0
732,5.0
738,323.0
742,27.0
747,77.0
752,186.0
757,11.0
760,4.0
767,298.0
771,4.0
777,302.0
781,49.0
785,4.0
791,311.0
794,2.0
800,322.0
805,90.0
811,169.0
814,5.0
820,286.0
823,5.0
829,301.0
833,2.0
839,310.0
842,3.0
848,313.0
851,0.0
857,323.0
863,134.0
867,4.0
872,285.0
876,8.0
881,298.0
885,32.0
890,3.0
896,307.0
899,1.0
905,321.0
910,18.0
914,97.0
920,143.0
924,7.0
930,290.0
933,4.0
939,291.0
942,4.0
948,301.0
952,2.0
957,315.0
961,4.0
967,324.0
973,116.0
976,4.0
982,283.0
986,3.0
991,292.0
995,3.0
1001,309.0
1004,3.0
1010,316.0
1014,4.0
1018,324.0
1024,52.0
1030,148.0
1033,9.0
1038,286.0
1042,4.0
1049,303.0
1051,4.0
1058,309.0
1061,5.0
1067,315.0
1070,4.0
1077,326.0
1082,146.0
1086,12.0
1090,4.0
1096,292.0
1100,5.0
1106,304.0
1111,81.0
1113,4.0
1120,317.0
1123,3.0
1129,321.0
1133,77.0
1140,179.0
1143,4.0
1149,285.0
1152,6.0
1158,295.0
1162,8.0
1168,306.0
1171,4.0
1177,308.0
1180,3.0
1186,328.0
1192,112.0
1196,4.0
1201,286.0
1206,10.0
1210,4.0
1216,297.0
1219,4.0
1225,305.0
1228,4.0
1234,316.0
1239,17.0
1244,84.0
1249,131.0
1253,7.0
1258,293.0
1262,7.0
1268,294.0
1271,3.0
1277,308.0
1281,2.0
1287,316.0
1290,3.0
1296,325.0
1302,145.0
1307,30.0
1309,3.0
1316,295.0
1319,5.0
1325,304.0
1329,4.0
1335,310.0
1338,2.0
1343,321.0
1348,40.0
1353,92.0
1359,144.0
1363,8.0
1368,296.0
1372,5.0
1377,304.0
1381,4.0
1387,303.0
1391,4.0
1396,318.0
1400,5.0
1406,326.0
1412,154.0
