Time,Values
0,31
5,26
9,30
14,23
20,21
25,12
30,11
34,10
39,10
44,11
49,11
54,15
58,12
63,13
67,19
72,21
77,26
83,32
86,32
92,39
97,40
102,42
106,43
112,49
116,50
121,52
126,61
131,61
136,65
141,65
146,75
151,70
156,73
159,81
165,89
170,90
175,94
180,97
186,102
191,97
197,114
203,104
208,106
215,116
221,122
227,118
233,128
239,129
245,124
251,136
257,143
263,138
269,141
275,149
281,147
287,157
293,160
299,164
305,164
310,160
317,171
323,162
329,170
335,175
341,181
348,176
354,181
359,177
366,175
371,188
377,180
384,189
390,192
396,194
402,194
408,195
414,194
420,194
426,197
432,194
438,200
445,203
451,202
457,200
463,200
469,203
475,210
481,208
487,214
492,210
498,211
505,217
511,212
517,221
523,218
530,222
536,226
542,225
548,214
554,228
559,226
566,221
571,222
577,232
584,222
590,233
596,233
602,225
608,229
615,234
621,227
626,227
633,227
639,240
645,236
651,238
657,240
663,235
669,233
675,239
681,239
687,233
693,239
700,242
705,233
711,236
717,233
723,238
730,235
735,235
742,234
748,237
754,234
759,240
765,243
773,248
779,237
785,236
790,248
796,248
803,240
809,237
815,238
821,250
826,250
833,249
839,249
845,240
852,240
858,240
864,244
870,241
876,240
881,253
888,250
893,254
900,241
906,245
912,241
918,241
923,247
930,248
936,242
942,253
949,245
954,253
960,242
966,253
973,251
979,250
984,253
990,252
996,246
1003,262
1009,244
1015,254
1022,246
1028,246
1034,244
1040,247
1046,247
1052,250
1058,250
1064,258
1070,257
1076,249
1082,253
1088,256
1094,246
1101,257
1107,256
1113,257
1119,252
1125,252
1131,250
1137,258
1142,252
1149,257
1155,244
1161,244
1167,249
1173,251
1179,258
1186,249
1191,258
1198,251
1204,250
1210,250
1216,253
1222,257
1228,258
1234,257
1240,260
1246,254
1252,250
1258,254
1264,247
1271,257
1277,251
1283,247
1289,254
1295,248
1301,258
1307,257
1313,250
1318,247
1325,256
1331,259
1337,259
1342,252
1350,258
1356,249
1362,249
1368,252
1374,249
1379,260
1385,256
1391,250
1398,254
1404,260
1410,256
1416,257
1422,255
1428,260
1435,252
1441,254
1447,256
1453,249
1459,260
1465,260
1471,260
1476,252
1483,262
1489,250
1494,250
1501,260
1506,252
1513,260
1520,257
1525,259
1532,257
1538,255
1543,261
1550,255
1556,253
1562,256
1568,260
1574,259
1580,261
1586,250
1592,256
1598,254
1605,252
1611,254
1617,252
1622,253
1629,252
1635,253
1640,252
1646,251
